n1,n2,nt1,nt2,s1,s2,ri1,ri2,phi,tetha,psi,l,w,h,M
6,10,8,13,0.00147577528718079,0.00257203896926611,0.0731522639341042,0.0731239162430236,-0.00336422515880797,-0.166050281146456,-0.189975447065023,-0.0263890897121026,0.0591966355510229,0.0830819042374846,2417.76175514572
6,9,13,7,0.00158364858555096,0.00221214581209632,0.0433270989994994,0.0374044652174823,0.25111122883755,-0.252886346132571,0.510332045717477,-0.0231310400695465,-0.0457756672763175,0.0615713907659367,741.528391941595
4,6,10,12,0.00295627403925498,0.00243531172667152,0.0465143498703399,0.059497477626199,0.0246036717373416,-0.205318392416082,-0.897949736110056,0.0200037256375021,-0.00237867583638524,0.102869951431387,1288.06075288773
9,9,14,7,0.00165090787917138,0.00132114608917224,0.039090050308673,0.0733111023503863,0.00997039849223641,-0.165325952805233,0.0854466889220733,0.0263598294835654,0.0150786299110706,0.0819783105001072,1505.47713964027
9,9,13,9,0.00154172005956524,0.00110502376463033,0.0614555739967391,0.066871939585506,-0.231884741052407,0.0533191132098027,-0.119459731471855,0.0234080341631353,-0.0123979752271742,0.0869437921042312,2529.01972642733
8,10,13,6,0.00288729970977811,0.00282031770427372,0.0356201406618369,0.0341908917527018,0.259291791849328,-0.125350953921153,0.1579494016267,-0.0175263161172399,-0.0290187906612194,0.0652815889633342,767.15759691603
4,9,9,13,0.00178358455593094,0.00126041446315265,0.0448664574655888,0.058179705286253,0.203448749839192,0.209460491589081,-0.162952727519229,-0.0294751762596756,0.0125678333336838,0.0742748447030372,1456.69450955845
9,5,10,5,0.00280108000499179,0.00293548122307429,0.0566334752342722,0.0417410635531721,-0.160366786503314,0.236153666179427,-0.656981571661329,-0.00898521480963662,0.0189159976192301,0.114585350979151,284.974766976448
4,5,5,11,0.00225189762028825,0.0010293877320076,0.0788783976581934,0.067062558224388,-0.0545329827318633,0.0627722020535851,-1.09238374040614,-0.0182620677304944,0.0149154182097315,0.113924590232758,647.42355092605
10,6,13,12,0.00135645056859002,0.00230777614473037,0.0515457476454958,0.0732532740270699,0.220552354366718,0.118977686135137,-1.03423261395792,0.0367070636853101,-0.0423896930718205,0.0996903081188538,1996.96031659781
10,4,12,10,0.00257478569873939,0.00181522432096533,0.0424892814974949,0.0687780749974934,0.225787380337448,0.0340568571906544,1.18795397898673,-0.0210492749432027,0.0298961711439514,0.103163399723025,1152.11881269145
